T,f,xi_0.005,xi_0.010,xi_0.020,xi_0.030,xi_0.050,xi_0.070,xi_0.100,xi_0.150,xi_0.200
0.0200,50.0000,0.011495,0.022990,0.045980,0.068970,0.114951,0.160931,0.229902,0.344852,0.459803
0.0250,40.0000,0.009371,0.018742,0.037485,0.056227,0.093711,0.131196,0.187423,0.281134,0.374846
0.0300,33.3333,0.007988,0.015975,0.031950,0.047926,0.079876,0.111827,0.159752,0.239628,0.319504
0.0350,28.5714,0.007027,0.014054,0.028109,0.042163,0.070272,0.098380,0.140543,0.210815,0.281086
0.0400,25.0000,0.006331,0.012662,0.025325,0.037987,0.063311,0.088636,0.126623,0.189934,0.253246
0.0500,20.0000,0.005415,0.010830,0.021660,0.032490,0.054151,0.075811,0.108301,0.162452,0.216603
0.0600,16.6667,0.004869,0.009738,0.019477,0.029215,0.048692,0.068169,0.097384,0.146076,0.194768
0.0700,14.2857,0.004535,0.009070,0.018140,0.027209,0.045349,0.063488,0.090698,0.136046,0.181395
0.0800,12.5000,0.004333,0.008666,0.017331,0.025997,0.043328,0.060659,0.086655,0.129983,0.173311
0.0900,11.1111,0.004219,0.008438,0.016875,0.025313,0.042188,0.059063,0.084376,0.126564,0.168752
0.1000,10.0000,0.004167,0.008333,0.016666,0.024999,0.041665,0.058332,0.083331,0.124996,0.166662
0.1100,9.0909,0.004159,0.008318,0.016637,0.024955,0.041591,0.058228,0.083183,0.124774,0.166366
0.1200,8.3333,0.004185,0.008371,0.016742,0.025112,0.041854,0.058596,0.083708,0.125562,0.167416
0.1300,7.6923,0.004238,0.008475,0.016950,0.025425,0.042376,0.059326,0.084751,0.127127,0.169502
0.1350,7.4074,0.004272,0.008543,0.017086,0.025629,0.042715,0.059802,0.085431,0.128146,0.170862
0.1400,7.1429,0.004310,0.008620,0.017240,0.025860,0.043100,0.060341,0.086201,0.129301,0.172402
0.1470,6.8027,0.004371,0.008741,0.017483,0.026224,0.043707,0.061189,0.087413,0.131120,0.174827
0.1500,6.6667,0.004399,0.008798,0.017595,0.026393,0.043988,0.061583,0.087976,0.131964,0.175952
0.1600,6.2500,0.004501,0.009002,0.018003,0.027005,0.045008,0.063011,0.090016,0.135024,0.180032
0.1700,5.8824,0.004614,0.009227,0.018455,0.027682,0.046137,0.064591,0.092273,0.138410,0.184547
0.1800,5.5556,0.004736,0.009471,0.018942,0.028414,0.047356,0.066299,0.094712,0.142068,0.189424
0.1900,5.2632,0.004865,0.009730,0.019461,0.029191,0.048652,0.068113,0.097304,0.145956,0.194608
0.2000,5.0000,0.005001,0.010003,0.020005,0.030008,0.050013,0.070018,0.100026,0.150038,0.200051
0.2200,4.5455,0.005289,0.010579,0.021158,0.031736,0.052894,0.074051,0.105788,0.158681,0.211575
0.2400,4.1667,0.005594,0.011189,0.022377,0.033566,0.055943,0.078320,0.111886,0.167829,0.223772
0.2600,3.8462,0.005912,0.011824,0.023649,0.035473,0.059122,0.082771,0.118244,0.177366,0.236487
0.2800,3.5714,0.006240,0.012480,0.024961,0.037441,0.062402,0.087363,0.124805,0.187207,0.249609
0.3000,3.3333,0.006576,0.013153,0.026306,0.039458,0.065764,0.092070,0.131528,0.197292,0.263056
0.3500,2.8571,0.007443,0.014887,0.029773,0.044660,0.074433,0.104206,0.148866,0.223299,0.297732
0.4000,2.5000,0.008337,0.016673,0.033347,0.050020,0.083366,0.116713,0.166733,0.250099,0.333466
0.4500,2.2222,0.009248,0.018495,0.036990,0.055486,0.092476,0.129467,0.184952,0.277429,0.369905
0.5000,2.0000,0.010171,0.020342,0.040684,0.061026,0.101709,0.142393,0.203419,0.305128,0.406837
0.6000,1.6667,0.012042,0.024084,0.048169,0.072253,0.120422,0.168591,0.240844,0.361267,0.481689
0.7000,1.4286,0.013935,0.027869,0.055739,0.083608,0.139347,0.195085,0.278694,0.418040,0.557387
0.8000,1.2500,0.015840,0.031681,0.063361,0.095042,0.158403,0.221765,0.316807,0.475210,0.633614
0.9000,1.1111,0.017755,0.035510,0.071019,0.106529,0.177548,0.248568,0.355097,0.532645,0.710193
1.0000,1.0000,0.019675,0.039351,0.078702,0.118053,0.196755,0.275457,0.393510,0.590265,0.787020
