Kat,eta_bi_max,D_bi,Kritik_Durum,A1a_Duzensiz,Sinir_Asimi
1,1.7076023391812865,2.0249345477620846,"X, +5%",EVET,HAYIR
2,1.7076023391812865,2.0249345477620846,"X, +5%",EVET,HAYIR
3,1.7076023391812865,2.0249345477620846,"X, +5%",EVET,HAYIR
4,1.7076023391812867,2.024934547762085,"X, +5%",EVET,HAYIR
5,1.7076023391812865,2.0249345477620846,"X, +5%",EVET,HAYIR
6,1.7076023391812867,2.024934547762085,"X, +5%",EVET,HAYIR
7,1.7076023391812867,2.024934547762085,"X, +5%",EVET,HAYIR
8,1.7076023391812867,2.024934547762085,"X, +5%",EVET,HAYIR
9,1.7076023391812867,2.024934547762085,"X, +5%",EVET,HAYIR
10,1.7076023391812865,2.0249345477620846,"X, +5%",EVET,HAYIR
11,1.7076023391812865,2.0249345477620846,"X, +5%",EVET,HAYIR
12,1.7076023391812867,2.024934547762085,"X, +5%",EVET,HAYIR
13,1.7076023391812865,2.0249345477620846,"X, +5%",EVET,HAYIR
14,1.7076023391812865,2.0249345477620846,"X, +5%",EVET,HAYIR
15,1.7076023391812865,2.0249345477620846,"X, +5%",EVET,HAYIR
16,1.7076023391812865,2.0249345477620846,"X, +5%",EVET,HAYIR
17,1.7076023391812867,2.024934547762085,"X, +5%",EVET,HAYIR
18,1.7076023391812865,2.0249345477620846,"X, +5%",EVET,HAYIR
19,1.7076023391812865,2.0249345477620846,"X, +5%",EVET,HAYIR
20,1.7076023391812867,2.024934547762085,"X, +5%",EVET,HAYIR
21,1.7076023391812865,2.0249345477620846,"X, +5%",EVET,HAYIR
22,1.7076023391812867,2.024934547762085,"X, +5%",EVET,HAYIR
23,1.7076023391812865,2.0249345477620846,"X, +5%",EVET,HAYIR
24,1.7076023391812867,2.024934547762085,"X, +5%",EVET,HAYIR
25,1.7076023391812865,2.0249345477620846,"X, +5%",EVET,HAYIR
