z	phi_x	phi_y
0.0	0.000000	0.000000
9.0	0.027661	-0.004331
15.0	0.047286	-0.005753
21.0	0.067472	-0.006026
27.0	0.080411	-0.005199
33.0	0.091738	-0.007111
39.0	0.094543	-0.006865
45.0	0.076215	0.008238
51.0	0.056019	0.020997
57.0	0.033338	0.031196
63.0	0.007379	0.032761
69.0	-0.011565	0.023299
75.0	-0.062040	0.092170
81.0	-0.164557	0.163565
87.0	-0.259817	0.236986
93.0	-0.345313	0.299232
99.0	-0.378706	0.307514
105.0	-0.345337	0.222974
111.0	-0.430703	0.264197
117.0	-0.642605	0.477633
123.0	-0.784605	0.604727
129.0	-0.876689	0.686651
135.0	-0.842679	0.655371
141.0	-0.699142	0.469274
147.0	-1.000000	0.841526
153.0	-0.693314	0.502761
