mode,eigenvalue,omega_rad_s,frequency_hz,period_s,Sae_DD-1,region_DD-1,Sae_DD-2,region_DD-2,Sae_DD-3,region_DD-3,Sae_DD-4,region_DD-4,Sae_DD2,region_DD2
1,988.2738553050359,31.436823238123726,5.0033258134535545,0.19986705589131887,1.544,Plateau,1.008,Plateau,0.542,Plateau,0.384,Plateau,1.008,Plateau
2,1825.4762594248846,42.7255925579141,6.799989252122326,0.14705905596658006,,,,,,,,,1.008,Plateau
3,2173.934183006323,46.625467107647545,7.420673564150683,0.13475865652290728,,,,,,,,,1.008,Plateau
4,9537.271365579674,97.65895435432265,15.542905322676225,0.06433803585878223,,,,,,,,,0.7846867067391323,Ascending
5,20974.934280848625,144.82725669171748,23.049973796925613,0.043383997257878844,,,,,,,,,0.6604415837408346,Ascending
6,21331.406947961284,146.0527539896502,23.245017749637366,0.04301997145240298,,,,,,,,,0.6582831248471895,Ascending
7,22371.83381744574,149.57216926101506,23.80515008686819,0.04200771666428759,,,,,,,,,0.6522810493976582,Ascending
8,31686.09813992393,178.00589355390437,28.33051785859363,0.03529762516136518,,,,,,,,,0.6124941538979771,Ascending
9,42979.19924165628,207.31425238428804,32.995088040360194,0.030307541497594483,,,,,,,,,0.5829058931151485,Ascending
10,60611.41944974403,246.19386558105796,39.18297066612701,0.02552129108639745,,,,,,,,,0.5545262436181684,Ascending
11,67204.77697898155,259.2388415708216,41.259143077412986,0.02423705209106591,,,,,,,,,0.5469114618105555,Ascending
12,68445.37245665383,261.6206651941964,41.63822208064614,0.02401639527411066,,,,,,,,,0.5456030966841385,Ascending
