floor,z,dmax,dmin,davg,nbi,status
1,9.0,0.0026836379006138808,0.0010054570391051182,0.0018445474698594996,1.4549031372005272,A1a DÜZENSİZ
2,15.0,0.0054462432101518524,0.0045129327804128245,0.004979587995282338,1.093713619542746,OK
3,21.0,0.01004646099577328,0.009263742924322898,0.009655101960048089,1.0405339101901356,OK
4,27.0,0.015193674474176234,0.014844036945648115,0.015018855709912175,1.011639952313323,OK
5,33.0,0.021211894477800395,0.020895993318995814,0.021053943898398104,1.0075021848716101,OK
6,39.0,0.027474402851064058,0.02702756653638421,0.027250984693724133,1.0081985352034408,OK
7,45.0,0.03446322873279166,0.03287544747568091,0.033669338104236286,1.02357903877105,OK
8,51.0,0.045252051847755055,0.04202678011556312,0.04363941598165909,1.036953653705488,OK
9,57.0,0.04935001802769284,0.046650947121278305,0.04800048257448557,1.028115039283472,OK
10,63.0,0.05875972151851415,0.05739756131816951,0.058078641418341834,1.0117268600562894,OK
11,69.0,0.0659299395137452,0.06405617514790753,0.06499305733082636,1.014415111727241,OK
12,75.0,0.07522427783045307,0.07441278261068462,0.07481853022056885,1.0054230898239789,OK
13,81.0,0.08278815816362757,0.08129353942840106,0.08204084879601431,1.0091089911742792,OK
14,87.0,0.09214841143254648,0.09089295308749895,0.09152068226002272,1.0068588777642664,OK
15,93.0,0.098398800949341,0.09756635147113635,0.09798257621023868,1.0042479464737613,OK
16,99.0,0.10772131965472151,0.1056120276691927,0.1066666736619571,1.0098873055337485,OK
17,105.0,0.11184870461484127,0.10978199990575589,0.11081535226029858,1.0093249927330954,OK
18,111.0,0.11842665602325053,0.11778844049851514,0.11810754826088284,1.0027018405433565,OK
19,117.0,0.12427271482489452,0.12303436276162089,0.1236535387932577,1.0050073458283475,OK
20,123.0,0.1305450543438938,0.13035991990559403,0.13045248712474392,1.0007095856981352,OK
21,129.0,0.1359704546802976,0.13507148745987377,0.13552097107008568,1.0033167088950348,OK
22,135.0,0.14145211674643135,0.14128681948298472,0.14136946811470802,1.0005846285822924,OK
23,141.0,0.14603041753931628,0.14533911993939946,0.14568476873935787,1.002372580215141,OK
24,147.0,0.15031668618284563,0.15006137221607918,0.15018902919946242,1.0008499754213982,OK
25,153.0,0.15416995328481292,0.15270327766356218,0.15343661547418755,1.0047794185785384,OK
